title,distributor,summary,theaters_count,week_gross,total_gross,sales_ending_week
Wonka,Warner Bros.,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.","3,346","$12,913,883","$180,727,738",2024-01-11
Anyone But You,Columbia Pictures,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.","2,935","$10,582,208","$58,821,578",2024-01-11
Migration,Universal Pictures,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.,"3,224","$9,806,800","$89,372,435",2024-01-11
Aquaman and the Lost Kingdom,Warner Bros.,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.","2,741","$7,571,369","$110,534,716",2024-01-11
Night Swim,Universal Pictures,"A family moves into a new home, unaware that a dark secret from the house's past will unleash a malevolent force in the backyard pool.","3,257","$6,543,725","$21,054,140",2024-01-11
The Boys in the Boat,Amazon MGM Studios,"A 1930s-set story centered on the University of Washington's rowing team, from their Depression-era beginnings.","2,007","$5,496,304","$41,327,407",2024-01-11
The Iron Claw,A24,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.","1,591","$3,688,483","$29,923,643",2024-01-11
The Book of Clarence,Sony Pictures Releasing,"Struggling to find a better life, Clarence is captivated by the power of the rising Messiah and soon risks everything to carve a path to a divine existence.","2,010","$3,572,549","$3,572,549",2024-01-11
American Fiction,Metro-Goldwyn-Mayer (MGM),A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.,625,"$2,888,454","$6,203,659",2024-01-11
Poor Things,Searchlight Pictures,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",580,"$2,829,997","$18,353,304",2024-01-11
The Color Purple,Warner Bros.,"A woman faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.","1,178","$2,612,359","$58,562,205",2024-01-11
The Boy and the Heron,GKIDS,"In the wake of his mother's death and his father's remarriage, a headstrong boy ventures into a dreamlike world shared by the living and the dead in search of his missing stepmother.",610,"$1,793,052","$42,381,323",2024-01-11
Godzilla Minus One,Toho International,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",605,"$1,357,544","$51,224,461",2024-01-11
Ferrari,Neon,"Set in the summer of 1957, with Enzo Ferrari's auto empire in crisis, the ex-racer turned entrepreneur pushes himself and his drivers to the edge as they launch into the Mille Miglia, a treacherous 1,000-mile race across Italy.",662,"$945,822","$17,824,927",2024-01-11
The Hunger Games: The Ballad of Songbirds & Snakes,Lionsgate,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,733,"$892,690","$165,280,945",2024-01-11
Trolls Band Together,Universal Pictures,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd.",618,"$808,970","$101,534,550",2024-01-11
All of Us Strangers,Searchlight Pictures,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.,120,"$723,794","$1,783,472",2024-01-11
Soul,Walt Disney Studios Motion Pictures,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.","1,350","$714,516","$714,516",2024-01-11
Oppenheimer,Universal Pictures,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",139,"$606,500","$326,714,405",2024-01-11
The Zone of Interest,A24,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.,25,"$407,700","$1,109,086",2024-01-11
Wish,Walt Disney Studios Motion Pictures,A young girl wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,395,"$391,597","$63,209,216",2024-01-11
Memory,Ketchup Entertainment,Sylvia is a social worker who leads a simple and structured life. This is blown open when Saul follows her home from their high school reunion. Their surprise encounter will profoundly impact both of them as they open the door to the past.,151,"$158,937","$347,103",2024-01-11
The Holdovers,Focus Features,"In 1970, a curmudgeonly history teacher at a New England boarding school remains on campus during Christmas break to supervise held over students, and ends up forming an unlikely bond with a brainy but damaged troublemaker.",100,"$138,375","$18,690,035",2024-01-11
Napoleon,Columbia Pictures,"An epic that details the chequered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",238,"$128,180","$61,431,495",2024-01-11
I Did It My Way,Well Go USA Entertainment,"Ho Sau, an undercover agent, has been working with Yau, a drug lord, for years, but his job and family are in trouble.",36,"$122,360","$122,360",2024-01-11
Freud's Last Session,Sony Pictures Releasing,"Psychoanalyst Sigmund Freud invites professor C.S. Lewis to debate the existence of God, Freud's unique relationship with his daughter, and Lewis' unconventional relationship with his best friend's mother.",34,"$80,648","$180,418",2024-01-11
Anatomy of a Fall,Neon,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.,27,"$79,621","$3,913,084",2024-01-11
Noryang: Deadly Sea,Well Go USA Entertainment,"Winter of 1598, the story of Yi Sun-shin's last naval battle during the Japanese invasions of Korea that happened in the Noryang Strait.",13,"$57,098","$274,438",2024-01-11
Anselm,Janus Films,"Anselm Kiefer is one of the greatest contemporary artists. His past and present diffuse the line between film and painting, thus giving a unique cinematic experience that dives deep into an artist's work and reveals his life path.",25,"$56,262","$305,708",2024-01-11
